timestamp_utc,open,high,low,close,base_volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2025-09-09T05:37:00+00:00,12.699,12.8961,12.6831,12.7906,211837.0,2710468.1908,13865,120715.0,1545299.157
2025-09-09T05:38:00+00:00,12.7905,12.9183,12.778,12.7904,206901.0,2658362.2046,11895,100767.0,1295122.9382
2025-09-09T05:39:00+00:00,12.7907,12.8,12.7075,12.7547,92426.0,1178468.5272,6454,42255.0,539002.3869
2025-09-09T05:40:00+00:00,12.7525,12.8426,12.7167,12.7316,127607.0,1630845.2494,8355,69564.0,889421.5971
2025-09-09T05:41:00+00:00,12.7328,12.908,12.7302,12.8124,157750.0,2027140.5727,10295,91879.0,1180869.9747
2025-09-09T05:42:00+00:00,12.8149,12.9998,12.8149,12.8801,196445.0,2537596.6904,12166,111146.0,1436134.8891
2025-09-09T05:43:00+00:00,12.8825,12.8853,12.6888,12.7391,150247.0,1919221.347,10273,58538.0,747823.6607
2025-09-09T05:44:00+00:00,12.7412,12.7817,12.6668,12.7277,143013.0,1818588.2431,8197,75469.0,959781.3659
2025-09-09T05:45:00+00:00,12.723,12.788,12.7058,12.7503,88167.0,1123702.4136,5326,44397.0,565863.7376
2025-09-09T05:46:00+00:00,12.7505,12.7511,12.6151,12.6295,113414.0,1436202.3432,7967,47230.0,598121.2125
2025-09-09T05:47:00+00:00,12.6293,12.6424,12.5211,12.5732,199456.0,2509887.7037,11425,80899.0,1018276.6231
2025-09-09T05:48:00+00:00,12.574,12.7785,12.5375,12.7221,154358.0,1956397.5638,9493,93618.0,1185999.0292
2025-09-09T05:49:00+00:00,12.7239,12.724,12.6053,12.6724,92978.0,1177560.315,7173,42817.0,542369.7476
2025-09-09T05:50:00+00:00,12.6726,12.6726,12.5514,12.6071,74615.0,941294.4653,6080,30455.0,384346.3005
2025-09-09T05:51:00+00:00,12.6073,12.6326,12.532,12.5747,102405.0,1288212.574,7244,47932.0,603193.1594
2025-09-09T05:52:00+00:00,12.5748,12.637,12.5712,12.5926,64732.0,816093.5272,4778,37416.0,471792.979
2025-09-09T05:53:00+00:00,12.5909,12.6345,12.57,12.5819,61966.0,780542.9063,3586,32934.0,414932.3351
2025-09-09T05:54:00+00:00,12.582,12.6848,12.5752,12.6136,87321.0,1103698.7778,5364,50507.0,638368.8093
2025-09-09T05:55:00+00:00,12.6124,12.8439,12.6118,12.7615,199549.0,2548088.5301,14866,122052.0,1558285.2805
2025-09-09T05:56:00+00:00,12.7613,12.9696,12.7526,12.8506,257916.0,3318543.4552,16737,155372.0,1999581.3555
