event_type,block_number,block_timestamp_utc,tx_hash,log_index,reserve_or_debt_asset,collateral_asset,user,on_behalf_of_or_repayer,liquidator,amount_crv,collateral_amount_usdc,borrow_rate_mode,receive_a_token
LiquidationCall,16027142,2022-11-22T17:50:35Z,0x6cb701ecec5746180ae2a2453a8a04ed7057f6b572f168947e176eddbf20e7a5,32,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x7719494eb8f3ca261f5c806d754853dc5ce2edf7,38979.35345019515652383,28699.957148,,false
LiquidationCall,16027143,2022-11-22T17:50:47Z,0xf359d69e4f99c09b16b9aac03287f870645e4faaa241befa2f2bff2a596f6f82,19,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,245558.568821079144590999,180801.367361,,false
LiquidationCall,16027145,2022-11-22T17:51:11Z,0x4337b011e7ac299a3dc652898f64095a08081ddf53e61913918e3ca62f4d2aae,58,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,137475.073919324021666265,101220.989607,,false
LiquidationCall,16027146,2022-11-22T17:51:23Z,0x5623977f2604db51328fdad07118e31712b04f61faaff687cf1fe79e03d42047,48,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,191317.261766066812914528,140864.245516,,false
LiquidationCall,16027146,2022-11-22T17:51:23Z,0xf4f09dc02df53da5f08d675a85337071d282c3e7fb05eb03322d5c1278c3c357,310,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0xc37704a457b1ee87eb657cae584a34961e86acac,500000,368143.063035,,false
LiquidationCall,16027147,2022-11-22T17:51:35Z,0x45f616d87938d460a7b43e64b3051b9553147a1abf3e542ad78d93c929da6c14,22,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,192034.780648230217720121,141392.544714,,false
LiquidationCall,16027148,2022-11-22T17:51:47Z,0x75cdf2735d75bc3ecf88b8ef210986bd294e549282f7c03ad411740d05ab812d,16,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x7719494eb8f3ca261f5c806d754853dc5ce2edf7,29868.932204426567958017,21992.080382,,false
LiquidationCall,16027149,2022-11-22T17:51:59Z,0x4a9fb8fb10e292cab67306ec8ed4b102d3a5565457619d19867868432b7372e9,19,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,98574.260447456380628129,72578.860355,,false
LiquidationCall,16027150,2022-11-22T17:52:11Z,0xd4fa1c208663a9a4a698a37721e81df89ecb52a80519070ea467b4dd28b3d199,40,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x7719494eb8f3ca261f5c806d754853dc5ce2edf7,36740.469861100239507509,27051.498224,,false
LiquidationCall,16027151,2022-11-22T17:52:23Z,0x78ee84ac83e15fa240a4ca222b6fac055def7523c6d2899fac1c21f6bea06849,83,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x7719494eb8f3ca261f5c806d754853dc5ce2edf7,67082.702114735821881814,49392.062866,,false
