datetime,block,tx_hash,crv_out,crv_out_raw,usdc_in,usdc_in_raw,effective_usdc_per_crv
2022-11-22T11:03:11.000Z,16025128,0x135e90c7d1c3e9d3f758aed91960366a1c8122b9036d478b95f26f690508993f,74543.091874,74543091874698795180722,30935.383128,30935383128,0.415000
2022-11-22T11:03:47.000Z,16025131,0x5d3e6fa3bd1b10111b3f9ab5798d35882da5a92f40d0abe876ccfc033dc63298,52139.231751,52139231751807228915662,21637.781177,21637781177,0.415000
2022-11-22T11:03:59.000Z,16025132,0xc7655c7624f09188530c7ccda36ff01ee4eae4e6be3ce07b81e03025d92dab53,52072.888672,52072888672289156626506,21610.248799,21610248799,0.415000
2022-11-22T11:04:23.000Z,16025134,0x8d8b852933e865e6426d2fd97bf090b0c4eee11339beb10d4910a5f2ccb19aa4,230990.640339,230990640339759036144578,95861.115741,95861115741,0.415000
2022-11-22T11:04:35.000Z,16025135,0x4330bdd216bd7e1824aae0418ca68e55134fea6cb36ae432c55382bf6874067b,54219.923857,54219923857831325301204,22501.268401,22501268401,0.415000
2022-11-22T11:05:23.000Z,16025139,0x6b6f95c451ee83fce6878f343e468abc8d782ff49765acae85b783e7f8b8eaec,100000,100000000000000000000000,41500,41500000000,0.415000
2022-11-22T11:06:11.000Z,16025143,0x3a02f7d9b6fba5f27bf5afed85e30fd2ff57939277dd39bcb507af8caee74d47,203943.84419,203943844190361445783132,84636.695339,84636695339,0.415000
2022-11-22T11:06:23.000Z,16025144,0x502bc39df73136866960c37cefa822f837ae0164b438e867b079242a96d4e6d6,237363.749074,237363749074698795180722,98505.955866,98505955866,0.415000
2022-11-22T11:06:23.000Z,16025144,0x3dde77104c47142c11b33ae41cb94a5cd6bfd565e16b3b7a757f2505e71e98a3,101425.36313,101425363130120481927710,42091.525699,42091525699,0.415000
2022-11-22T11:06:35.000Z,16025145,0x9ed57c37acb109f4f5c8fe933816ee7834b88f41c990d4d6d92e7090cedfb17c,129650.015787,129650015787951807228915,53804.756552,53804756552,0.415000
2022-11-22T11:07:35.000Z,16025149,0x0b62b7ff1b2c2e8b565941610b13ca7bb84f9204eebb26da3eb24f6f8d6c1150,394847.471014,394847471014457831325301,163861.700471,163861700471,0.415000
2022-11-22T11:08:47.000Z,16025155,0xdfc8ac0243cf54c790ad39d7e490c986d1ada3005b64c3cb6bd35c5a5ab2f1bb,194139.309814,194139309814457831325301,80567.813573,80567813573,0.415000
2022-11-22T11:09:11.000Z,16025157,0xb3d444b8753c23b1666a720d2cdf62264a89bd6c05021c95c01a29cfdcd3cbb8,96455.6376,96455637600000000000000,40029.089604,40029089604,0.415000
2022-11-22T11:09:11.000Z,16025157,0xa9b311f06c03fce7b209808bba5efdf43fab613680c7a7ffdaf12c33f114cc36,96362.322331,96362322331968200000000,39990.363768,39990363768,0.415000
2022-11-22T11:09:23.000Z,16025158,0x3cd340c29802a04a089430a3a0cc38a65d1a1a9f4f33a4b4862e11fc5904b262,66426.732631,66426732631325301204819,27567.094042,27567094042,0.415000
2022-11-22T11:09:35.000Z,16025159,0xf6d8eccca39c625ab8cf25848d3b807bee2c39dd07e7e2e79b3e39a3cbddb28a,240905.805829,240905805829920500000000,99975.90942,99975909420,0.415000
2022-11-22T11:09:35.000Z,16025159,0xe6268103024b510b7e7cbf3c0926e436765fb03329f5ed1cdb9dbe43276b25f0,64276.442214,64276442214457831325301,26674.723519,26674723519,0.415000
2022-11-22T11:09:47.000Z,16025160,0x6970bdc4176c2432ab8bb84b1678d5f443d3d5f799a5420d0dc5a5836b7b35e1,240905.805829,240905805829920500000000,99975.90942,99975909420,0.415000
2022-11-22T11:09:59.000Z,16025161,0xc5efbab6319cbdea27eee308220d2cb5a0fe49e3e654ac36c5867cce72570ef0,65193.359906,65193359906024096385542,27055.244361,27055244361,0.415000
2022-11-22T11:10:11.000Z,16025162,0xe1832e336fd528ccad6e88734c8cb9419b435adcc372166c8ba7b0550fd87c5b,75590.978122,75590978122891566265060,31370.255921,31370255921,0.415000
2022-11-22T11:10:11.000Z,16025162,0x194271591d1980b7a9053370db22049c62f967d03f9fd72e86f9168610a2f99f,535474.698795,535474698795156621641251,222222,222222000000,0.415000
2022-11-22T11:10:23.000Z,16025163,0x78fd1169c8a41622926311ec73ad2bc9a6058b45e74dc5f34dd8c879fa652883,10635.220477,10635220477108433734939,4413.616498,4413616498,0.415000
2022-11-22T11:10:23.000Z,16025163,0x25aea66a0eb22e22b4e107b72e71ec7ad10a1efa578b099de2bfcd57ac91a421,79446.342653,79446342653012048192771,32970.232201,32970232201,0.415000
2022-11-22T11:10:23.000Z,16025163,0xe5960cdd0d92173819a9e07ded2c13b06d865024e50e38ee8d773f15bad41b93,81129.223069,81129223069879518072289,33668.627574,33668627574,0.415000
2022-11-22T11:10:35.000Z,16025164,0x2259d9927faef203cf708232821ecbff5ebccb98870d7213da7d6e00ca9f9135,8645.645245,8645645245783132530120,3587.942777,3587942777,0.415000
